Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,7,Maar Stephen Timothy,-,OH,4,4,0,0,-,10,4,2,2,8,25,0,0,1,1,0,0,1,0,1,-100,1,0,3,4,25,1,0,1,100,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,8,Blankenau Jay,-,S,0,0,0,0,-,0,0,0,1,1,0,0,0,1,1,0,0,0,2,2,0,0,0,1,1,0,3,0,3,100,6,0,14,20,30
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,10,Sclater Ryan Joseph,-,O,1,0,1,0,-,0,0,1,1,2,-50,1,0,0,1,100,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,11,Jansen Vandoorn Daniel,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,13,Vernon-Evans Sharone,-,O,1,0,0,1,-,-66.67,0,5,0,5,-100,0,1,0,1,-100,1,1,1,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,14,Loeppky Eric,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,17,Vigrass Graham,-,MB,1,0,1,0,-,16.67,0,0,1,1,0,1,0,0,1,100,0,0,4,4,0,0,1,0,1,-100,1,0,1,100,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,19,Bann Blair Cameron,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,0,5,9,44.44,3,0,3,100,0,0,2,2,0
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,20,Szwarc Arthur,-,MB,3,1,1,1,-,-8.33,1,2,0,3,-33.33,1,2,0,3,-33.33,1,0,5,6,16.67,0,0,0,0,-,0,0,0,-,0,0,1,1,0
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,21,Walsh Brett James,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary ,Rimini,Italy,Canada,United States,0,3,17,24,20,-,-,25,26,25,-,-,SET 3,23,Demyanenko Danny,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary,Rimini,Italy,United States,Canada,3,0,25,26,25,-,-,17,24,20,-,-,ALL SETS,5,Ensing Kyle,-,O,13,11,1,1,-,4.08,11,4,18,33,21.21,1,2,2,5,-20,1,5,5,11,-36.36,1,0,0,1,100,6,2,8,50,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary,Rimini,Italy,United States,Canada,3,0,25,26,25,-,-,17,24,20,-,-,ALL SETS,7,Shoji Kawika,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary,Rimini,Italy,United States,Canada,3,0,25,26,25,-,-,17,24,20,-,-,ALL SETS,8,Defalco Torey,-,OH,15,13,1,1,-,15.38,13,6,5,24,29.17,1,0,2,3,33.33,1,3,8,12,-16.67,5,1,12,18,22.22,8,3,11,45.45,0,0,0,0,-
2021,6,2021/5/28,1,Preliminary,Rimini,Italy,United States,Canada,3,0,25,26,25,-,-,17,24,20,-,-,ALL SETS,9,Hanes Jake,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
