Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL,19,71,50,75,45,36,5,4,-,36,15,25,76,5,7,2,14,4,17,50,71,22,4,30,56,9,0,11,3,0,75,78
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,1,8,26,17,26,14,9,2,3,-,9,5,11,25,2,7,0,9,3,5,18,26,8,1,10,19,3,0,5,2,0,22,24
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,2,4,21,17,25,13,12,1,0,-,12,6,5,23,1,0,2,3,0,6,15,21,10,2,5,17,2,0,2,1,0,22,23
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,3,7,24,16,24,18,15,2,1,-,15,4,9,28,2,0,0,2,1,6,17,24,4,1,15,20,4,0,4,0,0,31,31
2021,1,2021/5/28,1,Preliminary,Rimini,Italy,France,Bulgaria,3,0,27,25,25,-,-,25,21,23,-,-,ALL,25,75,52,71,50,39,7,4,-,39,8,30,77,7,4,1,12,4,19,52,75,24,4,26,54,11,0,13,3,1,70,74
2021,1,2021/5/28,1,Preliminary,Rimini,Italy,France,Bulgaria,3,0,27,25,25,-,-,25,21,23,-,-,1,9,26,18,26,17,14,2,1,-,14,5,8,27,2,1,0,3,1,7,18,26,9,3,9,21,7,0,8,2,1,25,28
2021,1,2021/5/28,1,Preliminary,Rimini,Italy,France,Bulgaria,3,0,27,25,25,-,-,25,21,23,-,-,2,8,25,17,21,17,11,4,2,-,11,1,12,24,4,2,1,7,2,8,15,25,7,0,8,15,2,0,2,0,0,23,23
2021,1,2021/5/28,1,Preliminary,Rimini,Italy,France,Bulgaria,3,0,27,25,25,-,-,25,21,23,-,-,3,8,24,17,24,16,14,1,1,-,14,2,10,26,1,1,0,2,1,4,19,24,8,1,9,18,2,0,3,1,0,22,23
2021,2,2021/5/28,1,Preliminary ,Rimini,Italy,Australia,Germany,0,3,19,18,16,-,-,25,25,25,-,-,ALL,9,54,44,74,31,28,3,0,-,28,9,24,61,3,20,6,29,0,15,40,55,13,5,35,53,14,11,26,15,3,42,60
2021,2,2021/5/28,1,Preliminary ,Rimini,Italy,Australia,Germany,0,3,19,18,16,-,-,25,25,25,-,-,1,3,19,16,25,12,10,2,0,-,10,2,9,21,2,8,0,10,0,6,14,20,5,2,9,16,3,3,7,4,1,15,20
