Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,1,Bratoev Georgi,-,S,1,0,1,0,-,0,0,0,0,0,-,1,1,1,3,0,0,0,8,8,0,0,0,0,0,-,1,0,2,50,14,1,48,63,20.63
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,3,Kolev Nikolay,-,MB,1,0,1,0,-,0,0,1,0,1,-100,1,0,0,1,100,0,0,5,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,4,Atanasov Martin,-,OH,13,10,1,2,-,8.57,10,5,4,19,26.32,1,1,1,3,0,2,4,7,13,-15.38,7,3,10,20,20,1,0,3,33.33,0,0,2,2,0
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,5,Gotsev Svetoslav,-,MB,6,4,2,0,-,-4,4,1,2,7,42.86,2,5,1,8,-37.5,0,1,9,10,-10,0,0,0,0,-,3,0,3,100,0,0,0,0,-
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,8,Asparuhov Asparuh,-,OH,0,0,0,0,-,-66.67,0,1,1,2,-50,0,0,0,0,-,0,1,0,1,-100,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,9,Seganov Georgi,C,S,0,0,0,0,-,0,0,0,0,0,-,0,0,1,1,0,0,0,7,7,0,0,0,0,0,-,1,0,1,100,8,0,20,28,28.57
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,10,Karyagin Denis,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,11,Grozdanov Aleks,-,MB,5,5,0,0,-,-3.03,5,1,1,7,57.14,0,4,4,8,-50,0,1,17,18,-5.56,0,0,0,0,-,2,0,2,100,0,0,1,1,0
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,12,Dimitrov Dimitar,-,O,15,12,2,1,-,0,12,7,10,29,17.24,2,4,1,7,-28.57,1,4,11,16,-18.75,0,0,0,0,-,6,1,8,62.5,0,0,3,3,0
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL SETS,14,Bozhilov Martin,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,9,1,14,24,33.33,9,1,11,72.73,0,0,3,3,0
