Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2023,1,2023/5/30,2,1,Nagoya,Japan,Germany,Netherlands,3,1,25,25,20,25,-,21,22,25,22,-,ALL SETS,68,48,11,9,-,48,20,57,125,11,18,26,55,9,6,79,94,23,6,47,76,42,16,88,26,0,101,127
2023,1,2023/5/30,2,1,Nagoya,Japan,Germany,Netherlands,3,1,25,25,20,25,-,21,22,25,22,-,SET 1,20,14,2,4,-,14,5,13,32,2,6,8,16,4,1,19,24,4,2,11,17,15,1,23,5,0,28,33
2023,1,2023/5/30,2,1,Nagoya,Japan,Germany,Netherlands,3,1,25,25,20,25,-,21,22,25,22,-,SET 2,17,11,3,3,-,11,2,16,29,3,7,4,14,3,1,21,25,6,1,12,19,10,5,27,7,0,23,30
2023,1,2023/5/30,2,1,Nagoya,Japan,Germany,Netherlands,3,1,25,25,20,25,-,21,22,25,22,-,SET 3,15,10,5,0,-,10,7,15,32,5,3,8,16,0,3,17,20,5,1,16,22,8,6,17,5,0,27,32
2023,1,2023/5/30,2,1,Nagoya,Japan,Germany,Netherlands,3,1,25,25,20,25,-,21,22,25,22,-,SET 4,16,13,1,2,-,13,6,13,32,1,2,6,9,2,1,22,25,8,2,8,18,9,4,21,9,0,23,32
2023,1,2023/5/30,2,1,Nagoya,Japan,Netherlands,Germany,1,3,21,22,25,22,-,25,25,20,25,-,ALL SETS,71,58,7,6,-,58,18,57,133,7,15,22,44,6,15,70,91,13,9,65,87,39,15,85,14,1,119,134
2023,1,2023/5/30,2,1,Nagoya,Japan,Netherlands,Germany,1,3,21,22,25,22,-,25,25,20,25,-,SET 1,16,13,1,2,-,13,2,19,34,1,5,6,12,2,5,15,22,3,4,16,23,9,2,21,3,0,31,34
2023,1,2023/5/30,2,1,Nagoya,Japan,Netherlands,Germany,1,3,21,22,25,22,-,25,25,20,25,-,SET 2,20,18,1,1,-,18,4,14,36,1,4,8,13,1,3,18,22,5,3,16,24,11,4,24,5,1,31,37
2023,1,2023/5/30,2,1,Nagoya,Japan,Netherlands,Germany,1,3,21,22,25,22,-,25,25,20,25,-,SET 3,19,14,4,1,-,14,7,13,34,4,3,5,12,1,3,21,25,1,0,16,17,10,6,21,1,0,31,32
2023,1,2023/5/30,2,1,Nagoya,Japan,Netherlands,Germany,1,3,21,22,25,22,-,25,25,20,25,-,SET 4,16,13,1,2,-,13,5,11,29,1,3,3,7,2,4,16,22,4,2,17,23,9,3,19,5,0,26,31
2023,2,2023/5/30,2,1,Nagoya,Japan,Japan,Dominican Republic,3,1,25,25,22,25,-,23,18,25,15,-,ALL SETS,76,60,11,5,-,60,19,78,157,11,15,30,56,5,10,81,96,11,3,58,72,89,10,106,41,0,113,154
2023,2,2023/5/30,2,1,Nagoya,Japan,Japan,Dominican Republic,3,1,25,25,22,25,-,23,18,25,15,-,SET 1,20,17,3,0,-,17,6,29,52,3,4,9,16,0,4,20,24,4,0,17,21,28,2,35,14,0,34,48
2023,2,2023/5/30,2,1,Nagoya,Japan,Japan,Dominican Republic,3,1,25,25,22,25,-,23,18,25,15,-,SET 2,20,13,4,3,-,13,7,19,39,4,2,9,15,3,2,20,25,4,0,12,16,26,3,29,10,0,30,40
2023,2,2023/5/30,2,1,Nagoya,Japan,Japan,Dominican Republic,3,1,25,25,22,25,-,23,18,25,15,-,SET 3,17,15,1,1,-,15,2,21,38,1,5,6,12,1,2,19,22,2,3,18,23,20,4,25,10,0,29,39
2023,2,2023/5/30,2,1,Nagoya,Japan,Japan,Dominican Republic,3,1,25,25,22,25,-,23,18,25,15,-,SET 4,19,15,3,1,-,15,4,9,28,3,4,6,13,1,2,22,25,1,0,11,12,15,1,17,7,0,20,27
2023,2,2023/5/30,2,1,Nagoya,Japan,Dominican Republic,Japan,1,3,23,18,25,15,-,25,25,22,25,-,ALL SETS,64,48,13,3,-,48,20,81,149,13,17,28,58,3,10,69,82,7,5,74,86,78,13,105,25,1,129,155
2023,2,2023/5/30,2,1,Nagoya,Japan,Dominican Republic,Japan,1,3,23,18,25,15,-,25,25,22,25,-,SET 1,18,13,5,0,-,13,5,24,42,5,4,5,14,0,3,21,24,4,0,16,20,25,4,38,7,0,36,43
2023,2,2023/5/30,2,1,Nagoya,Japan,Dominican Republic,Japan,1,3,23,18,25,15,-,25,25,22,25,-,SET 2,13,9,4,0,-,9,5,24,38,4,4,7,15,0,2,16,18,2,3,18,23,17,4,23,3,1,34,38
2023,2,2023/5/30,2,1,Nagoya,Japan,Dominican Republic,Japan,1,3,23,18,25,15,-,25,25,22,25,-,SET 3,23,18,2,3,-,18,4,20,42,2,4,8,14,3,2,20,25,1,1,18,20,25,4,30,12,0,30,42
2023,2,2023/5/30,2,1,Nagoya,Japan,Dominican Republic,Japan,1,3,23,18,25,15,-,25,25,22,25,-,SET 4,10,8,2,0,-,8,6,13,27,2,5,8,15,0,3,12,15,0,1,22,23,11,1,14,3,0,29,32
2023,3,2023/5/30,1,1,Antalya,Türkiye,Italy,Thailand,3,2,24,25,27,30,15,26,17,29,28,11,ALL SETS,94,71,16,7,-,71,24,68,163,16,17,26,59,7,13,100,120,22,2,78,102,69,27,111,26,0,134,160
2023,3,2023/5/30,1,1,Antalya,Türkiye,Italy,Thailand,3,2,24,25,27,30,15,26,17,29,28,11,SET 1,19,15,3,1,-,15,7,12,34,3,3,5,11,1,2,21,24,6,0,17,23,13,5,20,5,0,28,33
2023,3,2023/5/30,1,1,Antalya,Türkiye,Italy,Thailand,3,2,24,25,27,30,15,26,17,29,28,11,SET 2,16,10,4,2,-,10,3,11,24,4,3,3,10,2,3,20,25,3,1,9,13,11,3,18,3,0,20,23
2023,3,2023/5/30,1,1,Antalya,Türkiye,Italy,Thailand,3,2,24,25,27,30,15,26,17,29,28,11,SET 3,22,17,3,2,-,17,8,19,44,3,5,6,14,2,1,24,27,6,1,20,27,19,8,29,5,0,37,42
2023,3,2023/5/30,1,1,Antalya,Türkiye,Italy,Thailand,3,2,24,25,27,30,15,26,17,29,28,11,SET 4,24,21,3,0,-,21,5,18,44,3,5,9,17,0,6,24,30,5,0,22,27,17,7,27,10,0,33,43
2023,3,2023/5/30,1,1,Antalya,Türkiye,Italy,Thailand,3,2,24,25,27,30,15,26,17,29,28,11,SET 5,13,8,3,2,-,8,1,8,17,3,1,3,7,2,1,11,14,2,0,10,12,9,4,17,3,0,16,19
2023,3,2023/5/30,1,1,Antalya,Türkiye,Thailand,Italy,2,3,26,17,29,28,11,24,25,27,30,15,ALL SETS,77,68,7,2,-,68,32,75,175,7,21,25,53,2,10,100,112,27,7,73,107,70,24,115,35,0,135,170
2023,3,2023/5/30,1,1,Antalya,Türkiye,Thailand,Italy,2,3,26,17,29,28,11,24,25,27,30,15,SET 1,17,14,3,0,-,14,5,16,35,3,6,4,13,0,3,23,26,7,1,14,22,14,4,22,11,0,24,35
