Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,ALL,30,100,70,106,66,52,10,4,-,52,23,31,106,10,18,14,42,4,16,80,100,31,8,44,83,32,2,39,22,1,83,106
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,1,6,21,14,24,13,10,2,1,-,10,6,8,24,2,4,4,10,1,1,19,21,7,3,9,19,7,0,9,5,0,18,23
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,2,6,24,19,22,16,12,2,2,-,12,1,6,19,2,3,4,9,2,4,18,24,9,1,6,16,4,0,5,5,1,13,19
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,3,5,22,16,24,18,14,3,1,-,14,6,10,30,3,2,2,7,1,6,15,22,9,1,12,22,9,0,11,4,0,27,31
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,4,11,24,14,21,15,12,3,0,-,12,5,5,22,3,6,3,12,0,4,20,24,3,1,11,15,9,1,10,5,0,17,22
2023,1,2023/6/6,2,1,Nagoya,Japan,Bulgaria,China,2,3,20,25,21,25,9,25,21,25,20,15,5,2,9,7,15,4,4,0,0,-,4,5,2,11,0,3,1,4,0,1,8,9,3,2,6,11,3,1,4,3,0,8,11
2023,1,2023/6/6,2,1,Nagoya,Japan,China,Bulgaria,3,2,25,21,25,20,15,20,25,21,25,9,ALL,36,106,70,100,76,56,12,8,-,56,17,27,100,12,14,15,41,8,23,75,106,19,4,61,84,25,1,32,8,3,87,98
2023,1,2023/6/6,2,1,Nagoya,Japan,China,Bulgaria,3,2,25,21,25,20,15,20,25,21,25,9,1,10,24,15,21,21,15,3,3,-,15,4,5,24,3,3,4,10,3,5,16,24,6,1,13,20,5,0,8,3,0,19,22
2023,1,2023/6/6,2,1,Nagoya,Japan,China,Bulgaria,3,2,25,21,25,20,15,20,25,21,25,9,2,3,22,18,24,16,14,1,1,-,14,4,6,24,1,4,2,7,1,6,15,22,6,2,12,20,7,0,7,4,0,18,22
2023,1,2023/6/6,2,1,Nagoya,Japan,China,Bulgaria,3,2,25,21,25,20,15,20,25,21,25,9,3,8,24,17,22,15,12,2,1,-,12,3,6,21,2,5,5,12,1,2,21,24,3,1,12,16,6,1,9,0,1,19,20
