Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,3,Cardenas ,-,OH,5,5,0,0,-,-23.08,5,6,5,16,-6.25,0,2,2,4,-50,0,3,3,6,-50,4,4,9,17,0,2,2,7,0,0,0,2,2,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,4,Camino ,-,OH,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,7,Garcia ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,0,4,6,33.33,7,3,11,36.36,0,0,6,6,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,8,Gomez ,-,S,3,1,0,2,-,11.11,1,0,2,3,33.33,0,0,1,1,0,2,1,11,14,7.14,0,0,0,0,-,0,4,6,-66.67,29,0,38,67,43.28
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,9,Gonzalez ,-,O,14,10,4,0,-,7.69,10,7,9,26,11.54,4,1,1,6,50,0,3,4,7,-42.86,0,0,0,0,-,5,2,7,42.86,0,0,1,1,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,10,Nivaldo ,-,OH,7,7,0,0,-,-6.67,7,3,5,15,26.67,0,4,1,5,-80,0,2,8,10,-20,6,2,24,32,12.5,3,0,3,100,0,0,1,1,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,12,Arrechea ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,15,Fiel ,-,MB,2,1,1,0,-,7.69,1,0,4,5,20,1,0,4,5,20,0,1,2,3,-33.33,0,0,2,2,0,0,0,1,0,1,0,0,1,100
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,17,Contreras ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,20,Thiago ,-,MB,2,1,1,0,-,14.29,1,0,0,1,100,1,0,1,2,50,0,1,3,4,-25,0,0,0,0,-,0,0,0,-,0,0,1,1,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,28,Thondike,C,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,2,0,3,0,2,5,60
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,30,Martinez ,-,O,2,2,0,0,-,-9.09,2,2,3,7,0,0,0,0,0,-,0,1,3,4,-25,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,32,Andreu ,-,OH,1,0,0,1,-,0,0,0,0,0,-,0,0,0,0,-,1,1,1,3,0,4,0,6,10,40,1,1,3,0,0,0,2,2,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,1 ,99,Wilson ,-,MB,7,6,1,0,-,14.29,6,1,3,10,50,1,3,0,4,-50,0,0,7,7,0,0,0,0,0,-,1,2,3,-33.33,0,0,1,1,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,3,Cardenas ,-,OH,1,1,0,0,-,-45.45,1,4,1,6,-50,0,1,1,2,-50,0,1,2,3,-33.33,1,2,1,4,-25,0,0,1,0,0,0,1,1,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,4,Camino ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,7,Garcia ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,1,2,50,3,0,3,100,0,0,2,2,0
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,8,Gomez ,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,3,3,0,0,0,0,0,-,0,1,1,-100,8,0,12,20,40
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,9,Gonzalez ,-,O,5,4,1,0,-,18.18,4,2,2,8,25,1,0,0,1,100,0,1,1,2,-50,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,10,Nivaldo ,-,OH,4,4,0,0,-,10,4,1,0,5,60,0,1,0,1,-100,0,1,3,4,-25,2,1,13,16,6.25,2,0,2,100,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,12,Arrechea ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,15,Fiel ,-,MB,0,0,0,0,-,0,0,0,2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,-,1,0,0,1,100
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,17,Contreras ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,20,Thiago ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,28,Thondike,C,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,30,Martinez ,-,O,0,0,0,0,-,-50,0,0,0,0,-,0,0,0,0,-,0,1,1,2,-50,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,32,Andreu ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,2 ,99,Wilson ,-,MB,3,2,1,0,-,0,2,1,0,3,33.33,1,2,0,3,-33.33,0,0,2,2,0,0,0,0,0,-,0,1,1,-100,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,3 ,3,Cardenas ,-,OH,0,0,0,0,-,-50,0,1,1,2,-50,0,0,0,0,-,0,0,0,0,-,0,1,2,3,-33.33,1,1,2,0,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,3 ,4,Camino ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2026,1,2026/6/10,3,1,Linyi,China,Cuba,Poland,0,3,16 ,20 ,21 ,-,-,25 ,25 ,25 ,-,-,3 ,7,Garcia ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,0,1,100,2,1,4,25,0,0,2,2,0
