Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,1,Nasevich,-,O,0,0,0,0,-,-33.33,0,0,1,1,0,0,1,0,1,-100,0,0,1,1,0,0,0,0,0,-,1,1,2,0,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,8,Czunkiewicz,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,12,Szalpuk,-,OH,19,18,1,0,-,20.75,18,5,13,36,36.11,1,0,2,3,33.33,0,3,11,14,-21.43,8,0,16,24,33.33,7,2,13,38.46,0,0,3,3,0
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,13,Szymura,C,OH,7,5,1,1,-,-3.12,5,6,8,19,-5.26,1,0,2,3,33.33,1,2,7,10,-10,7,1,7,15,40,1,1,4,0,0,0,2,2,0
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,14,Hawryluk,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,18,Granieczny,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,0,13,17,23.53,4,2,11,18.18,0,1,9,10,-10
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,23,Zaleszczyk,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,27,Gierżot,-,OH,6,6,0,0,-,5.26,6,1,4,11,45.45,0,1,0,1,-100,0,3,4,7,-42.86,1,1,12,14,0,4,1,6,50,2,0,0,2,100
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,34,Jakubiszak,-,MB,3,3,0,0,-,-6.9,3,1,5,9,22.22,0,4,6,10,-40,0,0,10,10,0,0,0,1,1,0,2,0,4,50,1,0,1,2,50
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,35,Sasak,-,O,19,15,1,3,-,19.61,15,1,9,25,56,1,4,3,8,-37.5,3,4,11,18,-5.56,0,0,0,0,-,7,4,13,23.08,1,0,6,7,14.29
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,44,Kozub,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,2,3,-66.67,2,0,4,6,33.33
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,72,Poręba,-,MB,9,7,2,0,-,5,7,1,1,9,66.67,2,5,7,14,-21.43,0,1,16,17,-5.88,0,0,1,1,0,2,2,4,0,0,0,1,1,0
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,73,Nowak,J.,MB,3,2,1,0,-,-35.71,2,2,1,5,0,1,3,1,5,-40,0,3,1,4,-75,0,0,1,1,0,0,0,0,-,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,96,Firlej,-,S,3,1,0,2,-,0,1,0,1,2,50,0,2,3,5,-40,2,1,12,15,6.67,0,0,1,1,0,3,3,12,0,28,0,59,87,32.18
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,1,1,Nasevich,-,O,0,0,0,0,-,-33.33,0,0,1,1,0,0,1,0,1,-100,0,0,1,1,0,0,0,0,0,-,0,1,1,-100,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,1,8,Czunkiewicz,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,1,12,Szalpuk,-,OH,4,4,0,0,-,44.44,4,0,1,5,80,0,0,0,0,-,0,0,4,4,0,2,0,4,6,33.33,5,0,5,100,0,0,1,1,0
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,1,13,Szymura,C,OH,4,3,0,1,-,-6.25,3,3,3,9,0,0,0,2,2,0,1,2,2,5,-20,3,0,3,6,50,1,1,2,0,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,1,14,Hawryluk,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,1,18,Granieczny,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,4,4,0,2,1,5,20,0,1,0,1,-100
