Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,7,Ndiaye,-,O,19,17,2,0,-,14.29,17,7,9,33,30.3,2,1,1,4,25,0,4,8,12,-33.33,0,0,0,0,-,3,1,7,28.57,0,0,1,1,0
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,10,Fanguedou,-,MB,3,0,2,1,-,-17.86,0,3,3,6,-50,2,3,4,9,-11.11,1,2,10,13,-7.69,0,0,0,0,-,1,2,5,-20,0,0,3,3,0
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,12,Depie,-,O,6,5,1,0,-,15,5,2,6,13,23.08,1,1,0,2,0,0,0,5,5,0,0,1,0,1,-100,1,3,4,-50,0,0,2,2,0
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,13,Diouf,-,OH,3,3,0,0,-,25,3,0,3,6,50,0,0,0,0,-,0,1,1,2,-50,0,0,8,8,0,1,1,2,0,0,0,1,1,0
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,15,Sylves,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,35,Danard,Selosse,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,1,1,3,0,2,0,28,30,6.67
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,53,Schalk,-,OH,3,3,0,0,-,-6.25,3,3,16,22,0,0,1,4,5,-20,0,1,4,5,-20,9,3,18,30,20,5,0,8,62.5,0,0,3,3,0
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,57,Mayer,-,MB,2,1,1,0,-,-6.25,1,1,3,5,0,1,2,0,3,-33.33,0,0,8,8,0,0,0,0,0,-,0,0,1,0,0,0,1,1,0
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,63,Respaut,-,S,0,0,0,0,-,-66.67,0,0,0,0,-,0,6,1,7,-85.71,0,4,4,8,-50,0,0,0,0,-,4,2,7,28.57,8,0,57,65,12.31
2025,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17 ,25 ,13 ,14 ,-,25 ,23 ,25 ,25 ,-,ALL,75,Biemel,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,-,0,0,0,0,-
