Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Women,3,2025/6/4,3,1,Beijing,China,Belgium,China,0,3,18,25,13,-,-,25,27,25,-,-,1,4,19,14,24,16,14,0,2,-,14,4,20,38,0,3,4,7,2,1,16,19,1,0,22,23,14,5,22,6,0,30,36
Women,3,2025/6/4,3,1,Beijing,China,Belgium,China,0,3,18,25,13,-,-,25,27,25,-,-,2,9,25,16,27,20,16,3,1,-,16,5,15,36,3,5,3,11,1,2,22,25,7,2,17,26,9,6,24,5,0,32,37
Women,3,2025/6/4,3,1,Beijing,China,Belgium,China,0,3,18,25,13,-,-,25,27,25,-,-,3,1,14,12,24,9,9,0,0,-,9,6,21,36,0,2,2,4,0,1,13,14,4,1,18,23,14,6,25,6,1,29,36
Women,4,2025/6/4,1,1,Ottawa,Canada,Netherlands,Japan,0,3,17,15,16,-,-,25,25,25,-,-,ALL,12,49,36,74,36,35,0,1,-,35,7,40,82,0,18,16,34,1,9,39,49,9,9,51,69,20,17,54,20,2,62,84
Women,4,2025/6/4,1,1,Ottawa,Canada,Netherlands,Japan,0,3,17,15,16,-,-,25,25,25,-,-,1,3,17,14,25,12,12,0,0,-,12,3,13,28,0,7,5,12,0,3,14,17,3,3,18,24,8,4,17,8,1,22,31
Women,4,2025/6/4,1,1,Ottawa,Canada,Netherlands,Japan,0,3,17,15,16,-,-,25,25,25,-,-,2,4,16,11,24,12,12,0,0,-,12,3,13,28,0,3,6,9,0,4,12,16,2,2,18,22,7,7,19,9,1,18,28
Women,4,2025/6/4,1,1,Ottawa,Canada,Netherlands,Japan,0,3,17,15,16,-,-,25,25,25,-,-,3,5,16,11,25,12,11,0,1,-,11,1,14,26,0,8,5,13,1,2,13,16,4,4,15,23,5,6,18,3,0,22,25
Women,4,2025/6/4,1,1,Ottawa,Canada,Japan,Netherlands,3,0,25,25,25,-,-,17,15,16,-,-,ALL,38,74,37,49,58,48,1,9,-,48,7,38,93,1,9,11,21,9,5,60,74,10,1,29,40,42,14,69,21,0,70,91
Women,4,2025/6/4,1,1,Ottawa,Canada,Japan,Netherlands,3,0,25,25,25,-,-,17,15,16,-,-,1,11,25,14,17,19,15,1,3,-,15,4,14,33,1,2,5,8,3,1,21,25,5,0,9,14,13,6,24,8,0,24,32
Women,4,2025/6/4,1,1,Ottawa,Canada,Japan,Netherlands,3,0,25,25,25,-,-,17,15,16,-,-,2,13,24,12,16,17,15,0,2,-,15,1,10,26,0,5,2,7,2,2,20,24,3,0,9,12,13,4,21,7,0,19,26
Women,4,2025/6/4,1,1,Ottawa,Canada,Japan,Netherlands,3,0,25,25,25,-,-,17,15,16,-,-,3,14,25,11,16,22,18,0,4,-,18,2,14,34,0,2,4,6,4,2,19,25,2,1,11,14,16,4,24,6,0,27,33
Women,5,2025/6/4,2,1,Rio de Janeiro,Brazil,USA,Italy,0,3,13,13,28,-,-,25,25,30,-,-,ALL,16,56,38,78,36,30,6,0,-,30,20,46,96,6,14,15,35,0,9,46,55,3,3,65,71,23,18,62,9,0,85,94
Women,5,2025/6/4,2,1,Rio de Janeiro,Brazil,USA,Italy,0,3,13,13,28,-,-,25,25,30,-,-,1,3,14,10,24,7,7,0,0,-,7,8,13,28,0,3,4,7,0,1,12,13,2,1,17,20,7,8,22,0,0,28,28
Women,5,2025/6/4,2,1,Rio de Janeiro,Brazil,USA,Italy,0,3,13,13,28,-,-,25,25,30,-,-,2,3,13,10,25,8,6,2,0,-,6,7,15,28,2,6,5,13,0,4,10,14,0,0,22,22,6,2,15,3,0,23,26
Women,5,2025/6/4,2,1,Rio de Janeiro,Brazil,USA,Italy,0,3,13,13,28,-,-,25,25,30,-,-,3,10,29,18,29,21,17,4,0,-,17,5,18,40,4,5,6,15,0,4,24,28,1,2,26,29,10,8,25,6,0,34,40
Women,5,2025/6/4,2,1,Rio de Janeiro,Brazil,Italy,USA,3,0,25,25,30,-,-,13,13,28,-,-,ALL,40,78,40,56,61,45,13,3,-,45,15,34,94,13,10,21,44,3,8,70,81,5,0,41,46,39,12,59,12,0,74,86
Women,5,2025/6/4,2,1,Rio de Janeiro,Brazil,Italy,USA,3,0,25,25,30,-,-,13,13,28,-,-,1,14,24,11,14,18,13,4,1,-,13,3,7,23,4,3,8,15,1,3,21,25,2,0,10,12,9,2,12,4,0,16,20
Women,5,2025/6/4,2,1,Rio de Janeiro,Brazil,Italy,USA,3,0,25,25,30,-,-,13,13,28,-,-,2,15,25,10,13,20,14,6,0,-,14,5,11,30,6,1,5,12,0,2,22,24,2,0,8,10,18,4,23,2,0,25,27
Women,5,2025/6/4,2,1,Rio de Janeiro,Brazil,Italy,USA,3,0,25,25,30,-,-,13,13,28,-,-,3,11,29,19,29,23,18,3,2,-,18,7,16,41,3,6,8,17,2,3,27,32,1,0,23,24,12,6,24,6,0,33,39
Women,6,2025/6/4,1,1,Ottawa,Canada,Dominican Republic,Serbia,3,2,26,19,25,25,18,28,25,15,20,16,ALL,48,113,65,104,79,58,16,5,-,58,19,45,122,16,22,27,65,5,12,97,114,9,10,62,81,50,20,82,9,1,112,122
Women,6,2025/6/4,1,1,Ottawa,Canada,Dominican Republic,Serbia,3,2,26,19,25,25,18,28,25,15,20,16,1,11,27,15,27,20,13,6,1,-,13,6,12,31,6,5,4,15,1,4,21,26,2,4,18,24,11,5,21,2,0,29,31
Women,6,2025/6/4,1,1,Ottawa,Canada,Dominican Republic,Serbia,3,2,26,19,25,25,18,28,25,15,20,16,2,5,19,14,25,8,7,1,0,-,7,6,11,24,1,4,5,10,0,2,19,21,1,2,13,16,8,4,15,1,1,23,25
Women,6,2025/6/4,1,1,Ottawa,Canada,Dominican Republic,Serbia,3,2,26,19,25,25,18,28,25,15,20,16,3,15,25,10,15,18,13,3,2,-,13,2,5,20,3,4,3,10,2,2,20,24,2,1,9,12,8,3,11,2,0,17,19
Women,6,2025/6/4,1,1,Ottawa,Canada,Dominican Republic,Serbia,3,2,26,19,25,25,18,28,25,15,20,16,4,12,24,13,21,21,16,3,2,-,16,2,6,24,3,5,10,18,2,3,20,25,1,3,13,17,12,3,15,3,0,21,24
Women,6,2025/6/4,1,1,Ottawa,Canada,Dominican Republic,Serbia,3,2,26,19,25,25,18,28,25,15,20,16,5,5,18,13,16,12,9,3,0,-,9,3,11,23,3,4,5,12,0,1,17,18,3,0,9,12,11,5,20,1,0,22,23
Women,6,2025/6/4,1,1,Ottawa,Canada,Serbia,Dominican Republic,2,3,28,25,15,20,16,26,19,25,25,18,ALL,39,104,65,113,82,61,11,10,-,61,27,59,147,11,22,12,45,10,22,72,104,24,5,73,102,43,10,70,17,0,129,146
Women,6,2025/6/4,1,1,Ottawa,Canada,Serbia,Dominican Republic,2,3,28,25,15,20,16,26,19,25,25,18,1,12,27,16,27,22,14,4,4,-,14,8,11,33,4,4,4,12,4,4,20,28,6,1,15,22,13,3,19,6,0,28,34
Women,6,2025/6/4,1,1,Ottawa,Canada,Serbia,Dominican Republic,2,3,28,25,15,20,16,26,19,25,25,18,2,11,25,14,19,20,14,4,2,-,14,4,9,27,4,1,3,8,2,8,14,24,4,0,15,19,7,1,11,2,0,26,28
Women,6,2025/6/4,1,1,Ottawa,Canada,Serbia,Dominican Republic,2,3,28,25,15,20,16,26,19,25,25,18,3,5,15,10,25,11,9,1,1,-,9,7,9,25,1,7,1,9,1,3,12,16,4,2,16,22,5,2,8,5,0,20,25
Women,6,2025/6/4,1,1,Ottawa,Canada,Serbia,Dominican Republic,2,3,28,25,15,20,16,26,19,25,25,18,4,8,21,12,24,15,12,0,3,-,12,4,16,32,0,6,2,8,3,3,14,20,4,2,16,22,8,2,15,4,0,25,29
Women,6,2025/6/4,1,1,Ottawa,Canada,Serbia,Dominican Republic,2,3,28,25,15,20,16,26,19,25,25,18,5,3,16,13,18,14,12,2,0,-,12,4,14,30,2,4,2,8,0,4,12,16,6,0,11,17,10,2,17,0,0,30,30
Women,7,2025/6/4,2,1,Rio de Janeiro,Brazil,Czechia,Brazil,0,3,21,20,17,-,-,25,25,25,-,-,ALL,15,59,43,74,37,33,3,1,-,33,12,45,90,3,12,9,24,1,10,49,60,14,6,42,62,28,13,53,28,1,60,89
Women,7,2025/6/4,2,1,Rio de Janeiro,Brazil,Czechia,Brazil,0,3,21,20,17,-,-,25,25,25,-,-,1,4,21,17,25,13,13,0,0,-,13,1,12,26,0,3,4,7,0,5,17,22,4,2,15,21,9,5,17,7,0,21,28
Women,7,2025/6/4,2,1,Rio de Janeiro,Brazil,Czechia,Brazil,0,3,21,20,17,-,-,25,25,25,-,-,2,9,21,11,24,13,10,2,1,-,10,4,17,31,2,4,2,8,1,4,15,20,4,3,15,22,9,3,16,9,0,19,28
Women,7,2025/6/4,2,1,Rio de Janeiro,Brazil,Czechia,Brazil,0,3,21,20,17,-,-,25,25,25,-,-,3,2,17,15,25,11,10,1,0,-,10,7,16,33,1,5,3,9,0,1,17,18,6,1,12,19,10,5,20,12,1,20,33
Women,7,2025/6/4,2,1,Rio de Janeiro,Brazil,Brazil,Czechia,3,0,25,25,25,-,-,21,20,17,-,-,ALL,31,74,44,59,58,44,8,6,-,44,13,31,88,8,16,14,38,6,11,56,73,15,1,34,50,37,5,50,23,0,63,86
Women,7,2025/6/4,2,1,Rio de Janeiro,Brazil,Brazil,Czechia,3,0,25,25,25,-,-,21,20,17,-,-,1,8,25,17,21,19,16,1,2,-,16,5,13,34,1,7,2,10,2,3,19,24,6,0,11,17,14,1,19,11,0,23,34
Women,7,2025/6/4,2,1,Rio de Janeiro,Brazil,Brazil,Czechia,3,0,25,25,25,-,-,21,20,17,-,-,2,13,24,12,21,19,14,2,3,-,14,6,9,29,2,5,5,12,3,3,19,25,7,1,8,16,13,1,16,8,0,19,27
Women,7,2025/6/4,2,1,Rio de Janeiro,Brazil,Brazil,Czechia,3,0,25,25,25,-,-,21,20,17,-,-,3,10,25,15,17,20,14,5,1,-,14,2,9,25,5,4,7,16,1,5,18,24,2,0,15,17,10,3,15,4,0,21,25
Women,8,2025/6/4,1,1,Ottawa,Canada,Bulgaria,Canada,2,3,18,12,25,25,4,25,25,23,19,15,ALL,28,84,56,107,63,49,10,4,-,49,21,72,142,10,26,18,54,4,8,73,85,18,9,66,93,52,17,93,19,2,121,142
Women,8,2025/6/4,1,1,Ottawa,Canada,Bulgaria,Canada,2,3,18,12,25,25,4,25,25,23,19,15,1,5,18,13,25,15,11,3,1,-,11,5,15,31,3,5,2,10,1,3,15,19,4,3,14,21,10,3,18,5,1,28,34
Women,8,2025/6/4,1,1,Ottawa,Canada,Bulgaria,Canada,2,3,18,12,25,25,4,25,25,23,19,15,2,1,13,11,24,9,7,1,1,-,7,6,19,32,1,6,6,13,1,1,10,12,3,1,19,23,12,4,20,5,1,26,32
Women,8,2025/6/4,1,1,Ottawa,Canada,Bulgaria,Canada,2,3,18,12,25,25,4,25,25,23,19,15,3,9,24,16,24,19,18,1,0,-,18,2,13,33,1,6,3,10,0,2,23,25,3,2,15,20,12,3,22,4,0,27,31
Women,8,2025/6/4,1,1,Ottawa,Canada,Bulgaria,Canada,2,3,18,12,25,25,4,25,25,23,19,15,4,12,25,13,19,18,11,5,2,-,11,5,13,29,5,5,5,15,2,2,20,24,4,1,11,16,13,4,22,3,0,26,29
Women,8,2025/6/4,1,1,Ottawa,Canada,Bulgaria,Canada,2,3,18,12,25,25,4,25,25,23,19,15,5,1,4,3,15,2,2,0,0,-,2,3,12,17,0,4,2,6,0,0,5,5,4,2,7,13,5,3,11,2,0,14,16
Women,8,2025/6/4,1,1,Ottawa,Canada,Canada,Bulgaria,3,2,25,25,23,19,15,18,12,25,25,4,ALL,51,107,56,84,85,67,9,9,-,67,15,45,127,9,19,33,61,9,13,84,106,21,4,51,76,57,13,95,17,2,113,132
Women,8,2025/6/4,1,1,Ottawa,Canada,Canada,Bulgaria,3,2,25,25,23,19,15,18,12,25,25,4,1,12,25,13,18,16,13,0,3,-,13,3,9,25,0,3,7,10,3,3,18,24,2,1,12,15,12,4,17,3,0,23,26
Women,8,2025/6/4,1,1,Ottawa,Canada,Canada,Bulgaria,3,2,25,25,23,19,15,18,12,25,25,4,2,13,24,12,13,20,16,3,1,-,16,2,11,29,3,2,6,11,1,2,22,25,5,1,5,11,16,3,27,5,0,23,28
Women,8,2025/6/4,1,1,Ottawa,Canada,Canada,Bulgaria,3,2,25,25,23,19,15,18,12,25,25,4,3,8,24,15,24,21,17,2,2,-,17,4,13,34,2,10,6,18,2,3,18,23,8,0,15,23,11,2,21,7,0,28,35
Women,8,2025/6/4,1,1,Ottawa,Canada,Canada,Bulgaria,3,2,25,25,23,19,15,18,12,25,25,4,4,6,19,13,25,14,11,2,1,-,11,5,9,25,2,4,7,13,1,4,15,20,4,2,16,22,10,4,17,2,2,25,29
Women,8,2025/6/4,1,1,Ottawa,Canada,Canada,Bulgaria,3,2,25,25,23,19,15,18,12,25,25,4,5,12,15,3,4,14,10,2,2,-,10,1,3,14,2,0,7,9,2,1,11,14,2,0,3,5,8,0,13,0,0,14,14
Women,9,2025/6/5,2,1,Rio de Janeiro,Brazil,Korea,Germany,0,3,17,15,21,-,-,25,25,25,-,-,ALL,21,54,32,74,37,31,1,5,-,31,26,49,106,1,11,19,31,5,5,45,55,8,8,50,66,19,19,82,19,1,93,113
Women,9,2025/6/5,2,1,Rio de Janeiro,Brazil,Korea,Germany,0,3,17,15,21,-,-,25,25,25,-,-,1,7,17,10,25,11,10,0,1,-,10,6,13,29,0,4,5,9,1,1,16,18,4,4,15,23,3,7,22,5,0,27,32
Women,9,2025/6/5,2,1,Rio de Janeiro,Brazil,Korea,Germany,0,3,17,15,21,-,-,25,25,25,-,-,2,5,16,10,24,10,9,1,0,-,9,8,20,37,1,4,4,9,0,1,15,16,1,3,18,22,7,8,31,6,0,34,40
Women,9,2025/6/5,2,1,Rio de Janeiro,Brazil,Korea,Germany,0,3,17,15,21,-,-,25,25,25,-,-,3,9,21,12,25,16,12,0,4,-,12,12,16,40,0,3,10,13,4,3,14,21,3,1,17,21,9,4,29,8,1,32,41
Women,9,2025/6/5,2,1,Rio de Janeiro,Brazil,Germany,Korea,3,0,25,25,25,-,-,17,15,21,-,-,ALL,42,74,33,54,60,34,18,8,-,34,9,45,88,18,19,25,62,8,8,58,74,8,5,36,49,28,10,65,30,0,62,92
Women,9,2025/6/5,2,1,Rio de Janeiro,Brazil,Germany,Korea,3,0,25,25,25,-,-,17,15,21,-,-,1,15,25,10,17,24,14,6,4,-,14,4,12,30,6,6,5,17,4,2,19,25,1,1,14,16,7,4,20,9,0,21,30
Women,9,2025/6/5,2,1,Rio de Janeiro,Brazil,Germany,Korea,3,0,25,25,25,-,-,17,15,21,-,-,2,14,24,11,16,20,12,5,3,-,12,4,16,32,5,5,10,20,3,2,19,24,4,0,11,15,12,3,24,13,0,20,33
Women,9,2025/6/5,2,1,Rio de Janeiro,Brazil,Germany,Korea,3,0,25,25,25,-,-,17,15,21,-,-,3,13,25,12,21,16,8,7,1,-,8,1,17,26,7,8,10,25,1,4,20,25,3,4,11,18,9,3,21,8,0,21,29
Women,10,2025/6/5,3,1,Beijing,China,Belgium,Thailand,3,1,25,25,24,25,-,22,23,26,22,-,ALL,33,98,66,94,80,68,11,1,-,68,15,71,154,11,19,31,61,1,6,91,98,27,2,60,89,62,22,100,40,1,110,151
Women,10,2025/6/5,3,1,Beijing,China,Belgium,Thailand,3,1,25,25,24,25,-,22,23,26,22,-,1,6,25,19,22,22,18,4,0,-,18,6,20,44,4,3,13,20,0,0,25,25,10,0,11,21,21,5,30,19,0,23,42
Women,10,2025/6/5,3,1,Beijing,China,Belgium,Thailand,3,1,25,25,24,25,-,22,23,26,22,-,2,10,24,15,24,19,15,4,0,-,15,3,24,42,4,6,8,18,0,1,23,24,6,1,17,24,18,5,28,8,1,35,44
Women,10,2025/6/5,3,1,Beijing,China,Belgium,Thailand,3,1,25,25,24,25,-,22,23,26,22,-,3,8,25,16,25,20,18,2,0,-,18,2,9,29,2,6,3,11,0,4,21,25,7,1,14,22,6,8,16,5,0,22,27
