Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,3,2025/6/11,3,1,Xi'an,China,Serbia,Türkiye,3,1,12,25,25,25,-,25,22,23,23,-,4,10,25,15,23,18,13,4,1,-,13,3,6,22,4,5,4,13,1,9,14,24,3,2,14,19,5,2,8,7,0,16,23
Men,3,2025/6/11,3,1,Xi'an,China,Türkiye,Serbia,1,3,25,22,23,23,-,12,25,25,25,-,ALL,37,94,56,86,61,44,8,9,-,44,16,47,107,8,27,22,57,9,14,71,94,12,1,50,63,39,14,66,29,1,74,104
Men,3,2025/6/11,3,1,Xi'an,China,Türkiye,Serbia,1,3,25,22,23,23,-,12,25,25,25,-,1,13,25,12,12,19,12,3,4,-,12,2,16,30,3,4,6,13,4,2,18,24,3,0,7,10,14,3,20,9,0,17,26
Men,3,2025/6/11,3,1,Xi'an,China,Türkiye,Serbia,1,3,25,22,23,23,-,12,25,25,25,-,2,10,22,12,25,15,12,1,2,-,12,5,12,29,1,9,6,16,2,4,17,23,4,0,16,20,9,3,17,7,1,21,29
Men,3,2025/6/11,3,1,Xi'an,China,Türkiye,Serbia,1,3,25,22,23,23,-,12,25,25,25,-,3,6,24,17,24,15,11,3,1,-,11,3,13,27,3,8,8,19,1,3,19,23,3,0,15,18,10,5,17,8,0,19,27
Men,3,2025/6/11,3,1,Xi'an,China,Türkiye,Serbia,1,3,25,22,23,23,-,12,25,25,25,-,4,8,23,15,25,12,9,1,2,-,9,6,6,21,1,6,2,9,2,5,17,24,2,1,12,15,6,3,12,5,0,17,22
Men,4,2025/6/11,1,1,Quebec,Canada,Bulgaria,Italy,1,3,16,25,19,19,-,25,22,25,25,-,ALL,23,79,56,96,55,43,6,6,-,43,17,51,111,6,25,26,57,6,19,55,80,17,6,54,77,22,14,64,23,1,85,109
Men,4,2025/6/11,1,1,Quebec,Canada,Bulgaria,Italy,1,3,16,25,19,19,-,25,22,25,25,-,1,2,17,14,24,11,9,1,1,-,9,4,16,29,1,8,7,16,1,3,12,16,4,1,15,20,7,6,18,6,0,22,28
Men,4,2025/6/11,1,1,Quebec,Canada,Bulgaria,Italy,1,3,16,25,19,19,-,25,22,25,25,-,2,8,24,17,23,19,15,2,2,-,15,3,6,24,2,4,4,10,2,6,17,25,3,2,12,17,5,1,12,9,0,14,23
Men,4,2025/6/11,1,1,Quebec,Canada,Bulgaria,Italy,1,3,16,25,19,19,-,25,22,25,25,-,3,8,20,11,24,14,10,2,2,-,10,6,17,33,2,8,8,18,2,4,13,19,2,2,18,22,6,1,18,3,1,29,33
